Model Name,hy-mt2-1.8b
IP Address/Port,74.2.96.26:32232
Parameters,"temperature=0.7,top_p=0.6,top_k=20,max_tokens=4096,repetition_penalty=1.05"

Input,Expected Output,Actual Output,Time Taken (s)
「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,"“The mice we have, aged 4 months, were once suffering from diabetes, but now they are not,” he added.",0.3034
ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,"Dr. Efrod Ur, a professor at the Dalhousie University School of Medicine in Halifax, Nova Scotia, and the head of the Clinical and Scientific Department of the Canadian Diabetes Association, warned that this research is still in its early stages.",0.358
他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,"Like other experts, he is skeptical about whether he can cure diabetes completely, and these research findings indicate that they have no relevance to people already suffering from type 1 diabetes.",0.2996
スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,"Sara Danius, permanent secretary of the Nobel Literature Committee at the Swedish Academy, announced on Monday in a Swedish public radio program that the committee had given up trying to contact Bob Dylan directly regarding his 2016 Nobel Prize in Literature, as they were unable to reach him.",0.3745
ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,"Danias said, “I haven’t done anything yet. I called his close allies and sent emails, and very friendly responses came back. For now, it’s definitely enough.”",0.317
RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,"Jami Smilov, CEO of Ring, said that she started her business because the doorbell sound couldn’t be heard from her store in the garage.",0.3017
彼はWi-Fiで鳴るドアベルを作ったそうです。,他称，他制作了一个 WiFi 门铃。,He said he created a doorbell that rings via Wi-Fi.,0.2179
シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,"Mr. Siminov says that after appearing in the Shark Tank episode in 2013, his sales rapidly increased after the show committee declined to provide funding.",0.2832
2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,2017 年年末，西米诺夫出现在 QVC 电视销售频道。,"In the second half of 2017, Mr. Siminov appeared on the TV shopping show “QVC”.",0.2824
Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,Ring has also reached a settlement in a lawsuit with competing security company ADT.,0.2233
