Input,Expected Output
气候变化影响全球生态系统。,Climate change affects global ecosystems.
法官宣布了判决结果。,The judge announced the verdict.
学生学习了分子生物学。,The student studied molecular biology.
老师解释了科学原理。,The teacher explained the scientific principle.
公司推出了最新的手机。,The company launched the latest smartphone.
减少污染可以改善空气质量。,Reducing pollution can improve air quality.
老师解释了科学原理。,The teacher explained the scientific principle.
护士照顾了病人。,The nurse took care of the patient.
孩子们在公园里玩耍。,Children play in the park.
领导人发表了重要讲话。,The leader delivered an important speech.
我今必须完成我的作业。,I must finish my homework today.
人们喜欢在假期旅行。,People like to travel during holidays.
学校鼓励创新和合作。,The school encourages innovation and collaboration.
明天我们要去海滩。,Tomorrow we are going to the beach.
公司推出了最新的手机。,The company launched the latest smartphone.
医院提供了免费的疫苗。,The hospital provided free vaccines.
猫正在睡觉。,The cat is sleeping.
律师向法庭提交了文件。,The lawyer submitted the documents to the court.
技术正在改变世界。,Technology is changing the world.
他们在公园踢足球。,They are playing football in the park.
公司投资了新项目。,The company invested in a new project.
生物学家发现了一种新物种。,Biologists discovered a new species.
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.
她喜欢读书。,She likes reading books.
互联网连接了全球。,The internet connects the world.
科学为人类服务。,Science serves humanity.
我今必须完成我的作业。,I must finish my homework today.
猫正在睡觉。,The cat is sleeping.
政府颁布了新的政策。,The government issued a new policy.
政府颁布了新的政策。,The government issued a new policy.
公司推出了最新的手机。,The company launched the latest smartphone.
老师解释了科学原理。,The teacher explained the scientific principle.
科学为人类服务。,Science serves humanity.
互联网连接了全球。,The internet connects the world.
律师向法庭提交了文件。,The lawyer submitted the documents to the court.
法官宣布了判决结果。,The judge announced the verdict.
互联网连接了全球。,The internet connects the world.
气候变化影响全球生态系统。,Climate change affects global ecosystems.
学生学习了分子生物学。,The student studied molecular biology.
人们喜欢在假期旅行。,People like to travel during holidays.
市场竞争变得更加激烈。,Market competition has become more intense.
今天天气很好。,The weather is nice today.
领导人发表了重要讲话。,The leader delivered an important speech.
