Model Name,hy-mt2-1.8b,,
IP Address/Port,74.2.96.26:32232,,
Parameters,"temperature=0.7,top_p=0.6,top_k=20,max_tokens=4096,repetition_penalty=1.05",,
Link to Dataset,https://www.kaggle.com/datasets/programmer3/japaneseenglish-translation-dataset,,
Input,Expected Output,Actual Output,Time Taken (s)
この手法は翻訳精度を大幅に向上させる。,This method significantly improves translation accuracy.,This method significantly improves translation accuracy.,0.2226
この技術は医療データ分析に応用できる。,This technology can be applied to medical data analysis.,This technology can be applied to medical data analysis.,0.2075
国際協力は持続可能な開発に不可欠である。,Global cooperation is essential for sustainable development.,International cooperation is essential for sustainable development.,0.2166
医療報告書の翻訳には専門知識が求められる。,Medical report translation requires domain expertise.,The translation of medical reports requires specialized knowledge.,0.2067
この技術は医療データ分析に応用できる。,This technology can be applied to medical data analysis.,This technology can be applied to medical data analysis.,0.2064
データ前処理は重要な工程である。,Data preprocessing is an important step.,Data preprocessing is an important step.,0.197
データ前処理は重要な工程である。,Data preprocessing is an important step.,Data preprocessing is an important step.,0.2023
国際協力は持続可能な開発に不可欠である。,Global cooperation is essential for sustainable development.,International cooperation is essential for sustainable development.,0.2084
このモデルは計算効率が高い。,This model has high computational efficiency.,This model has high computational efficiency.,0.1924
自然言語処理は急速に発展している。,Natural language processing is rapidly evolving.,Natural language processing is developing rapidly.,0.2019
データ前処理は重要な工程である。,Data preprocessing is an important step.,Data preprocessing is an important step.,0.2003
医療報告書の翻訳には専門知識が求められる。,Medical report translation requires domain expertise.,The translation of medical reports requires specialized knowledge.,0.2078
データ前処理は重要な工程である。,Data preprocessing is an important step.,Data preprocessing is an important step.,0.2027
彼は昨日新しい研究論文を読んだ。,He read a new research paper yesterday.,He read a new research paper yesterday.,0.1984
この技術は医療データ分析に応用できる。,This technology can be applied to medical data analysis.,This technology can be applied to medical data analysis.,0.2168
実験結果は有意な改善を示した。,Experimental results show significant improvement.,The experimental results showed a significant improvement.,0.1955
ビジネス交渉では正確な言語理解が必要である。,Accurate language understanding is required in business negotiations.,"In business negotiations, accurate language comprehension is necessary.",0.2112
医療報告書の翻訳には専門知識が求められる。,Medical report translation requires domain expertise.,The translation of medical reports requires specialized knowledge.,0.2027
彼は昨日新しい研究論文を読んだ。,He read a new research paper yesterday.,He read a new research paper yesterday.,0.2136
データ前処理は重要な工程である。,Data preprocessing is an important step.,Data preprocessing is an important step.,0.1977
日本語と英語の翻訳は非常に難しい。,Translation between Japanese and English is extremely difficult.,The translation from Japanese to English is very difficult.,0.2058
企業は国際市場で多言語対応を求められている。,Companies require multilingual support in international markets.,Enterprises are required to provide multilingual support in international markets.,0.2097
最適化アルゴリズムは収束速度を改善する。,The optimization algorithm improves convergence speed.,The optimization algorithm improves the convergence speed.,0.2058
医療分野では正確な翻訳が重要である。,Accurate translation is critical in healthcare.,"In the field of healthcare, accurate translation is important.",0.2192
ビジネス交渉では正確な言語理解が必要である。,Accurate language understanding is required in business negotiations.,"In business negotiations, accurate language comprehension is necessary.",0.2264
日本語と英語の翻訳は非常に難しい。,Translation between Japanese and English is extremely difficult.,The translation from Japanese to English is very difficult.,0.2162
最適化アルゴリズムは収束速度を改善する。,The optimization algorithm improves convergence speed.,The optimization algorithm improves the convergence speed.,0.1986
この手法は翻訳精度を大幅に向上させる。,This method significantly improves translation accuracy.,This method significantly improves translation accuracy.,0.2003
自然言語処理は急速に発展している。,Natural language processing is rapidly evolving.,Natural language processing is developing rapidly.,0.1997
教育分野では機械翻訳の需要が高まっている。,The demand for machine translation is increasing in education.,"In the field of education, the demand for machine translation is increasing.",0.2269
この手法は翻訳精度を大幅に向上させる。,This method significantly improves translation accuracy.,This method significantly improves translation accuracy.,0.2173
教育現場でAI技術の活用が進んでいる。,AI adoption is increasing in educational environments.,"In educational settings, the use of AI technology is progressing.",0.219
医療分野では正確な翻訳が重要である。,Accurate translation is critical in healthcare.,"In the field of healthcare, accurate translation is important.",0.2091
企業は国際市場で多言語対応を求められている。,Companies require multilingual support in international markets.,Enterprises are required to provide multilingual support in international markets.,0.2118
彼は昨日新しい研究論文を読んだ。,He read a new research paper yesterday.,He read a new research paper yesterday.,0.2055
この手法は翻訳精度を大幅に向上させる。,This method significantly improves translation accuracy.,This method significantly improves translation accuracy.,0.204
教育分野では機械翻訳の需要が高まっている。,The demand for machine translation is increasing in education.,"In the field of education, the demand for machine translation is increasing.",0.2261
企業は国際市場で多言語対応を求められている。,Companies require multilingual support in international markets.,Enterprises are required to provide multilingual support in international markets.,0.2187
データ前処理は重要な工程である。,Data preprocessing is an important step.,Data preprocessing is an important step.,0.1978
日本語と英語の翻訳は非常に難しい。,Translation between Japanese and English is extremely difficult.,The translation from Japanese to English is very difficult.,0.2104
自然言語処理は急速に発展している。,Natural language processing is rapidly evolving.,Natural language processing is developing rapidly.,0.2446
医療報告書の翻訳には専門知識が求められる。,Medical report translation requires domain expertise.,The translation of medical reports requires specialized knowledge.,0.2033
企業は国際市場で多言語対応を求められている。,Companies require multilingual support in international markets.,Enterprises are required to provide multilingual support in international markets.,0.2183
国際協力は持続可能な開発に不可欠である。,Global cooperation is essential for sustainable development.,International cooperation is essential for sustainable development.,0.2956
ビジネス交渉では正確な言語理解が必要である。,Accurate language understanding is required in business negotiations.,"In business negotiations, accurate language comprehension is necessary.",0.2062
彼女は国際会議で研究成果を発表した。,She presented the research findings at an international conference.,She presented her research findings at an international conference.,0.3154
企業は国際市場で多言語対応を求められている。,Companies require multilingual support in international markets.,Enterprises are required to provide multilingual support in international markets.,0.2272
実験結果は有意な改善を示した。,Experimental results show significant improvement.,The experimental results showed a significant improvement.,0.2976
国際政策は多言語コミュニケーションに依存している。,International policy depends on multilingual communication.,International policy relies on multilingual communication.,0.2057
医療報告書の翻訳には専門知識が求められる。,Medical report translation requires domain expertise.,The translation of medical reports requires specialized knowledge.,0.3165
本研究では深層学習モデルを最適化する。,This study optimizes deep learning models.,"In this study, deep learning models are optimized.",0.3346
日本語と英語の翻訳は非常に難しい。,Translation between Japanese and English is extremely difficult.,The translation from Japanese to English is very difficult.,0.2164
自然言語処理は急速に発展している。,Natural language processing is rapidly evolving.,Natural language processing is developing rapidly.,0.3088
医療分野では正確な翻訳が重要である。,Accurate translation is critical in healthcare.,"In the field of healthcare, accurate translation is important.",0.242
自然言語処理は急速に発展している。,Natural language processing is rapidly evolving.,Natural language processing is developing rapidly.,0.2811
彼女は国際会議で研究成果を発表した。,She presented the research findings at an international conference.,She presented her research findings at an international conference.,0.2458
国際政策は多言語コミュニケーションに依存している。,International policy depends on multilingual communication.,International policy relies on multilingual communication.,0.4009
医療分野では正確な翻訳が重要である。,Accurate translation is critical in healthcare.,"In the field of healthcare, accurate translation is important.",0.2084
国際協力は持続可能な開発に不可欠である。,Global cooperation is essential for sustainable development.,International cooperation is essential for sustainable development.,0.3166
本研究では深層学習モデルを最適化する。,This study optimizes deep learning models.,"In this study, deep learning models are optimized.",0.3989
教育分野では機械翻訳の需要が高まっている。,The demand for machine translation is increasing in education.,"In the field of education, the demand for machine translation is increasing.",0.2542
最適化アルゴリズムは収束速度を改善する。,The optimization algorithm improves convergence speed.,The optimization algorithm improves the convergence speed.,0.2717
本研究では深層学習モデルを最適化する。,This study optimizes deep learning models.,"In this study, deep learning models are optimized.",0.2124
自然言語処理は急速に発展している。,Natural language processing is rapidly evolving.,Natural language processing is developing rapidly.,0.2043
この手法は翻訳精度を大幅に向上させる。,This method significantly improves translation accuracy.,This method significantly improves translation accuracy.,0.2971
国際政策は多言語コミュニケーションに依存している。,International policy depends on multilingual communication.,International policy relies on multilingual communication.,0.202
実験結果は有意な改善を示した。,Experimental results show significant improvement.,The experimental results showed a significant improvement.,0.3226
ビジネス交渉では正確な言語理解が必要である。,Accurate language understanding is required in business negotiations.,"In business negotiations, accurate language comprehension is necessary.",0.2138
教育分野では機械翻訳の需要が高まっている。,The demand for machine translation is increasing in education.,"In the field of education, the demand for machine translation is increasing.",0.3115
自然言語処理は急速に発展している。,Natural language processing is rapidly evolving.,Natural language processing is developing rapidly.,0.2084
日本語と英語の翻訳は非常に難しい。,Translation between Japanese and English is extremely difficult.,The translation from Japanese to English is very difficult.,0.3142
国際政策は多言語コミュニケーションに依存している。,International policy depends on multilingual communication.,International policy depends on multilingual communication.,0.2011
この手法は翻訳精度を大幅に向上させる。,This method significantly improves translation accuracy.,This method significantly improves translation accuracy.,0.3219
日本語と英語の翻訳は非常に難しい。,Translation between Japanese and English is extremely difficult.,The translation from Japanese to English is very difficult.,0.211
この手法は翻訳精度を大幅に向上させる。,This method significantly improves translation accuracy.,This method significantly improves translation accuracy.,0.3131
日本語と英語の翻訳は非常に難しい。,Translation between Japanese and English is extremely difficult.,The translation from Japanese to English is very difficult.,0.2063
データ前処理は重要な工程である。,Data preprocessing is an important step.,Data preprocessing is an important step.,0.317
日本語と英語の翻訳は非常に難しい。,Translation between Japanese and English is extremely difficult.,The translation from Japanese to English is very difficult.,0.2142
国際協力は持続可能な開発に不可欠である。,Global cooperation is essential for sustainable development.,International cooperation is essential for sustainable development.,0.3097
実験結果は有意な改善を示した。,Experimental results show significant improvement.,The experimental results showed a significant improvement.,0.2004
ビジネス交渉では正確な言語理解が必要である。,Accurate language understanding is required in business negotiations.,"In business negotiations, accurate language comprehension is necessary.",0.3243
医療報告書の翻訳には専門知識が求められる。,Medical report translation requires domain expertise.,The translation of medical reports requires specialized knowledge.,0.208
医療報告書の翻訳には専門知識が求められる。,Medical report translation requires domain expertise.,The translation of medical reports requires specialized knowledge.,0.3158
医療報告書の翻訳には専門知識が求められる。,Medical report translation requires domain expertise.,The translation of medical reports requires specialized knowledge.,0.3348
この技術は医療データ分析に応用できる。,This technology can be applied to medical data analysis.,This technology can be applied to medical data analysis.,0.2287
教育現場でAI技術の活用が進んでいる。,AI adoption is increasing in educational environments.,"In educational settings, the use of AI technology is progressing.",0.2959
医療報告書の翻訳には専門知識が求められる。,Medical report translation requires domain expertise.,The translation of medical reports requires specialized knowledge.,0.2296
自然言語処理は急速に発展している。,Natural language processing is rapidly evolving.,Natural language processing is developing rapidly.,0.4189
日本語と英語の翻訳は非常に難しい。,Translation between Japanese and English is extremely difficult.,The translation from Japanese to English is very difficult.,0.3985
