Model Name,hy-mt2-1.8b
IP Address/Port,74.2.96.26:32232
Parameters,"temperature=0.7,top_p=0.6,top_k=20,max_tokens=4096,repetition_penalty=1.05"

Input,Expected Output,Actual Output,Time Taken (s)
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.2147
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.1988
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1965
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.2115
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.1992
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1978
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1935
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2054
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2014
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2209
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.2056
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2139
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.2002
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.1989
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2007
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1905
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1944
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2192
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.2012
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2028
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.2351
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2031
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.2096
她喜欢读书。,She likes reading books.,She likes reading books.,0.2096
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.2011
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1916
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.2028
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1939
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.1968
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.1951
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.1989
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.2
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.2005
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.2058
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2103
